name,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price
Maruti Alto LX,2012,90000,Petrol,Individual,Manual,First Owner,11,195806,150000
Maruti Alto K10 LXI,2012,20000,Petrol,Individual,Manual,Second Owner,9.13,196472,175000
Maruti Alto LX,2010,88000,Petrol,Individual,Manual,Second Owner,13,196823,110000
Maruti Alto LX,2011,50000,Petrol,Individual,Manual,First Owner,10,196896,135000
Hyundai EON Era Plus,2013,80000,Petrol,Individual,Manual,First Owner,10.82,198540,160000
Chevrolet Beat Diesel LS,2012,110000,Diesel,Individual,Manual,First Owner,13.29,198631,120000
Maruti Alto LXi,2010,90000,Petrol,Individual,Manual,Second Owner,12.35,200484,120000
Tata Indica Vista Quadrajet LS,2012,80000,Diesel,Individual,Manual,Second Owner,11,200996,150000
Tata Indigo CS LE (TDI) BS-III,2011,115000,Diesel,Individual,Manual,Fourth & Above Owner,11,201408,95000
Tata Manza Aura Safire BS IV,2010,60000,Petrol,Individual,Manual,Second Owner,10.34,201605,160000
Tata Indigo CR4,2012,120000,Diesel,Individual,Manual,First Owner,9,202888,130000
Chevrolet Beat Diesel LT,2012,125000,Diesel,Individual,Manual,First Owner,9,203616,120000
Tata Indica Vista Quadrajet LS,2012,140000,Diesel,Individual,Manual,First Owner,13,203832,120000
Chevrolet Spark 1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,10.6,204285,125000
Maruti Alto 800 LXI,2014,61000,Petrol,Individual,Manual,First Owner,10,204418,180000
Hyundai Accent Executive CNG,2010,110000,CNG,Individual,Manual,First Owner,14.15,204629,140000
Tata Indica Vista Aqua 1.2 Safire BSIV,2010,128000,Petrol,Individual,Manual,First Owner,9.02,205046,97000
Hyundai i10 Sportz 1.2,2010,60000,Petrol,Individual,Manual,Third Owner,9,205101,125000
Chevrolet Spark 1.0 LS,2012,80000,Petrol,Individual,Manual,First Owner,11.82,205429,130000
Tata Indigo GLS,2011,62000,Petrol,Individual,Manual,Second Owner,11,205643,80000
Chevrolet Spark 1.0 LS,2012,90000,Petrol,Individual,Manual,Second Owner,13.51,207915,134000
Tata Indica V2 DLS BSII,2010,100000,Diesel,Individual,Manual,Third Owner,10,208274,75000
Chevrolet Aveo 1.6 LT with ABS,2010,120000,Petrol,Individual,Manual,Second Owner,12,208505,140000
Tata Indica Vista Aqua 1.4 TDI,2010,90000,Diesel,Individual,Manual,Second Owner,12,210867,110000
Maruti Alto LXi,2010,30000,Petrol,Individual,Manual,First Owner,15,211156,140000
Maruti Alto LXi,2012,60000,Petrol,Individual,Manual,Second Owner,11,211255,160000
Maruti Wagon R LXI Minor,2010,60000,Petrol,Individual,Manual,Fourth & Above Owner,13.08,211521,100000
Maruti Wagon R VXI BS IV,2011,40000,Petrol,Individual,Manual,Second Owner,11,211552,170000
Maruti Alto LX,2010,90000,Petrol,Individual,Manual,First Owner,10.53,211884,120000
Hyundai Santro Xing GLS CNG,2010,98000,CNG,Individual,Manual,Second Owner,14,213798,130000
Maruti Wagon R LXI CNG,2011,60000,CNG,Individual,Manual,Second Owner,14.68,213919,160000
Hyundai Accent Executive,2011,60000,Petrol,Individual,Manual,First Owner,11,214010,150000
Maruti Wagon R VXI BS IV,2014,70000,Petrol,Individual,Manual,Second Owner,11,214241,210000
Maruti Alto LX,2011,36000,Petrol,Dealer,Manual,First Owner,10.41,214275,180000
Tata Indica GLS BS IV,2010,300000,Petrol,Individual,Manual,Third Owner,9,215019,90000
Tata Indica Vista Aqua 1.2 Safire BSIV,2010,128000,Petrol,Individual,Manual,First Owner,11,215138,97000
Ford Figo Diesel Titanium,2010,102307,Diesel,Dealer,Manual,First Owner,11.35,215414,160000
Chevrolet Beat Diesel LT,2012,98900,Diesel,Individual,Manual,Third Owner,12,217326,126000
Maruti Wagon R LXI BS IV,2010,50000,Petrol,Individual,Manual,First Owner,14,217373,110000
Tata Indica Vista Terra Quadrajet 1.3L,2011,90000,Diesel,Individual,Manual,Third Owner,11,217842,140000
Tata Indica Vista Quadrajet LX,2011,80000,Diesel,Individual,Manual,First Owner,9,218099,133000
Mahindra Scorpio 1.99 S10,2015,55000,Diesel,Individual,Manual,Second Owner,15,218250,150000
Fiat Linea T Jet Emotion,2010,90000,Petrol,Individual,Manual,Second Owner,9,218398,215000
Maruti Alto K10 VXI,2015,60000,Petrol,Individual,Manual,First Owner,11,218943,155000
Tata Indica Vista Quadrajet LX,2012,110000,Diesel,Individual,Manual,First Owner,10,219213,150000
Maruti Alto 800 LXI,2014,25000,Petrol,Individual,Manual,First Owner,9,219683,110000
Tata Indigo CR4,2011,70000,Diesel,Individual,Manual,Second Owner,13,220048,150000
Hyundai EON Era Plus,2012,70000,Petrol,Individual,Manual,Third Owner,13,220515,160000
Maruti A-Star AT VXI,2012,70000,Petrol,Individual,Automatic,First Owner,11,220606,150000
Chevrolet Beat Diesel LT,2011,56000,Diesel,Dealer,Manual,Second Owner,10,221353,221000
Tata Indica Vista Quadrajet LX,2012,80000,Diesel,Individual,Manual,Third Owner,15,221995,120000
Tata Nano Cx BSIV,2012,35000,Petrol,Individual,Manual,Second Owner,11,222192,75000
Chevrolet Beat Diesel LS,2012,110000,Diesel,Individual,Manual,First Owner,10,222202,120000
Chevrolet Spark 1.0 LT,2011,60000,Petrol,Individual,Manual,First Owner,11,222326,165000
Maruti Alto LX,2011,50000,Petrol,Individual,Manual,First Owner,13.5,222538,135000
Maruti Alto 800 LXI,2013,25000,Petrol,Individual,Manual,Second Owner,10.93,222542,92800
Maruti Omni MPI STD BSIV,2014,120000,Petrol,Individual,Manual,Third Owner,12,222989,150000
Ford Figo Petrol Titanium,2011,60000,Petrol,Individual,Manual,Third Owner,13.16,223154,120000
Hyundai Santro Xing GL,2011,157000,Petrol,Individual,Manual,First Owner,10,223499,150000
Hyundai Santro Xing GLS,2010,90000,Petrol,Individual,Manual,Third Owner,13,224010,120000
Chevrolet Spark 1.0 PS,2010,73000,Petrol,Individual,Manual,First Owner,14,224787,110000
Maruti Alto 800 LXI,2019,20000,Petrol,Individual,Manual,First Owner,10.82,224888,210000
Nissan Micra Diesel XV Premium,2011,90000,Diesel,Individual,Manual,Second Owner,10.57,225124,138000
Tata Indica Vista TDI LX,2013,65000,Diesel,Individual,Manual,First Owner,10,225492,185000
Hyundai EON 1.0 Kappa Magna Plus,2015,80000,Petrol,Individual,Manual,Second Owner,10.06,225661,170000
Chevrolet Beat Diesel,2012,110000,Diesel,Individual,Manual,First Owner,13,225801,160000
Maruti Alto LXi,2011,40000,Petrol,Individual,Manual,Second Owner,11,225905,150000
Hyundai Verna SX Diesel,2011,72000,Diesel,Dealer,Manual,Third Owner,10,226581,210000
Chevrolet Beat Diesel LT,2011,80000,Diesel,Individual,Manual,Second Owner,12,226721,130000
Tata Indigo CR4,2011,155500,Diesel,Individual,Manual,First Owner,9,226741,150000
Maruti Alto 800 Base,2015,40000,Petrol,Individual,Manual,First Owner,9,226780,155000
Tata Indica Vista Aqua 1.4 TDI,2010,81000,Diesel,Individual,Manual,Second Owner,9,226851,125000
Mahindra Verito 1.5 D2 BSIII,2011,175000,Diesel,Individual,Manual,First Owner,15,227353,175000
Tata Indigo CR4,2013,100000,Diesel,Individual,Manual,First Owner,9.64,227496,220000
Hyundai EON Magna Plus,2014,42000,Petrol,Individual,Manual,First Owner,9,227631,220000
Chevrolet Spark 1.0 LS,2011,60000,Petrol,Individual,Manual,Second Owner,9,228405,140000
Tata Indica Vista Quadrajet LX,2011,80000,Diesel,Individual,Manual,First Owner,9,228791,133000
Maruti Alto K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,First Owner,9.11,228974,115999
Chevrolet Spark 1.0 LT,2010,15000,Petrol,Individual,Manual,First Owner,10,229706,180000
Hyundai i10 Magna,2012,50000,Petrol,Individual,Manual,First Owner,11,230055,210000
Maruti Alto K10 LXI,2015,120000,Petrol,Individual,Manual,Fourth & Above Owner,14,230653,138000
Chevrolet Beat LT,2011,90000,Petrol,Individual,Manual,Second Owner,10.33,231085,120000
Fiat Punto 1.3 Emotion,2010,210000,Diesel,Individual,Manual,Second Owner,11.88,231528,130000
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,70000,Diesel,Individual,Manual,Second Owner,9,232042,200000
Maruti Alto K10 2010-2014 VXI,2011,90000,Petrol,Individual,Manual,First Owner,12,233382,135000
Chevrolet Beat LT,2012,12000,Petrol,Individual,Manual,First Owner,11,233673,155000
Tata Indica Vista Quadrajet LS,2012,80000,Diesel,Individual,Manual,Second Owner,14,233882,150000
Maruti Omni MPI STD BSIV,2015,70000,Petrol,Individual,Manual,First Owner,9.9,234448,130000
Chevrolet Aveo U-VA 1.2 LS,2010,60000,Petrol,Individual,Manual,First Owner,12,234976,140000
Maruti Zen Estilo VXI BSIV,2010,50000,Petrol,Individual,Manual,Second Owner,11.41,235035,130000
Ford Figo Petrol ZXI,2011,50000,Petrol,Individual,Manual,Third Owner,14.96,235388,185000
Chevrolet Spark 1.0,2010,70000,Petrol,Individual,Manual,First Owner,9,235468,80000
Tata Indigo LS,2012,200000,Diesel,Individual,Manual,Third Owner,15,235932,100000
Tata Indigo CS Emax CNG GLX,2014,72000,CNG,Dealer,Manual,First Owner,12,236582,185000
Maruti Ritz VDi,2010,100000,Diesel,Individual,Manual,Second Owner,13,236863,148000
Chevrolet Beat Diesel PS,2012,68000,Diesel,Dealer,Manual,First Owner,15,237059,159000
Tata Indigo LS,2012,90000,Diesel,Individual,Manual,First Owner,9.44,237246,150000
Hyundai EON 1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,12,237389,100000
Nissan Micra Diesel XV Premium,2013,13770,Diesel,Individual,Manual,First Owner,10,238154,210000
Ford Figo Petrol ZXI,2012,30000,Petrol,Individual,Manual,Third Owner,11.82,239089,130000
Fiat Grande Punto 1.3 Dynamic (Diesel),2010,63000,Diesel,Individual,Manual,Third Owner,11.15,239531,150000
Tata Indica Vista TDI LS,2010,107500,Diesel,Dealer,Manual,First Owner,15,239949,170000
Tata Nano Twist XE,2015,23800,Petrol,Individual,Manual,Second Owner,15,241779,100000
Tata Manza Aura (ABS) Quadrajet BS IV,2012,155836,Diesel,Individual,Manual,Second Owner,9,242495,180000
Chevrolet Beat Diesel,2012,110000,Diesel,Individual,Manual,First Owner,14,243497,160000
Tata Nano Lx BSIV,2010,58850,Petrol,Dealer,Manual,First Owner,9,243675,75000
Tata Sumo GX TC 8 Str,2010,120000,Diesel,Individual,Manual,Second Owner,11,244077,220000
Chevrolet Beat LT Option,2016,41000,Petrol,Dealer,Manual,First Owner,9.58,244699,239000
Tata Indica Vista Quadrajet VX,2012,85000,Diesel,Individual,Manual,First Owner,14,244769,185000
Tata Indigo LX,2012,90000,Diesel,Individual,Manual,Second Owner,13.18,245174,130000
Chevrolet Spark 1.0 LS,2011,100000,Petrol,Individual,Manual,Third Owner,9,245532,99000
Maruti Alto LXi,2012,50000,Petrol,Individual,Manual,First Owner,10,246157,150000
Maruti Ritz VDi,2011,40000,Diesel,Individual,Manual,Second Owner,13,246328,150000
Renault KWID RXT,2017,50000,Petrol,Individual,Manual,First Owner,10.09,246365,240000
Tata Nano Cx BSIII,2014,7000,Petrol,Individual,Manual,Second Owner,10.17,246412,45000
Maruti Alto LXi,2011,70000,Petrol,Individual,Manual,First Owner,14.42,246479,150000
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,10.81,246548,225000
Chevrolet Beat Diesel PS,2012,58000,Diesel,Dealer,Manual,First Owner,11.16,246554,130000
Chevrolet Beat LS,2012,50000,Petrol,Individual,Manual,First Owner,12.72,246555,180000
Maruti Alto K10 2010-2014 VXI,2010,70000,Petrol,Individual,Manual,Third Owner,9.51,246895,200000
Hyundai EON Sportz,2012,55766,Petrol,Individual,Manual,Second Owner,10,247219,150000
Mahindra Quanto C4,2013,100000,Diesel,Individual,Manual,Fourth & Above Owner,9.86,247481,220000
Maruti 800 AC,2013,80000,Petrol,Individual,Manual,First Owner,15,247563,100000
Maruti Wagon R LXI BS IV,2010,70000,Petrol,Individual,Manual,First Owner,9,247724,222000
Maruti Alto K10 2010-2014 VXI,2011,90000,Petrol,Individual,Manual,Second Owner,10.89,248904,170000
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,90000,Diesel,Individual,Manual,Second Owner,9.33,249167,200000
Renault KWID RXT,2016,53000,Petrol,Individual,Manual,Second Owner,10.76,250023,200000
Tata Nano XM,2015,60000,Petrol,Individual,Manual,Second Owner,12.85,250303,190000
Mahindra Bolero SLX,2011,70000,Diesel,Individual,Manual,Third Owner,14,250466,170000
Maruti Alto 800 LXI,2018,35000,Petrol,Individual,Manual,First Owner,12,251157,200000
Maruti Alto LXi BSIII,2010,52000,Petrol,Individual,Manual,Second Owner,15,251241,190000
Hyundai Getz 1.3 GVS,2010,110000,Petrol,Individual,Manual,First Owner,12,251423,110000
Ford Figo Petrol LXI,2010,110000,Petrol,Individual,Manual,First Owner,12,252185,130000
Maruti Omni E MPI STD BS IV,2018,120000,Petrol,Individual,Manual,First Owner,9.89,253751,250000
Maruti Alto 800 LXI,2014,30000,Petrol,Individual,Manual,First Owner,15,253859,114999
Hyundai EON Magna Plus,2013,205000,Petrol,Individual,Manual,First Owner,12.99,253894,125000
Chevrolet Spark 1.0 LT,2011,68519,Petrol,Dealer,Manual,First Owner,12,253956,130000
Maruti Alto 800 CNG LXI,2012,97000,CNG,Individual,Manual,Second Owner,14,254889,170000
Maruti Alto 800 VXI,2014,90000,Petrol,Individual,Manual,First Owner,14,254921,160000
Maruti Ritz VDi,2011,120000,Diesel,Individual,Manual,First Owner,10.34,254998,200000
Maruti Zen Estilo LXI Green (CNG),2010,80000,CNG,Individual,Manual,Fourth & Above Owner,12,255564,110000
Chevrolet Spark 1.0 LS,2012,80000,Petrol,Individual,Manual,First Owner,13.46,255623,130000
Mahindra Verito 1.5 D4 BSIV,2012,172000,Diesel,Individual,Manual,Second Owner,10,255904,150000
Hyundai Santro Xing GLS,2010,90000,Petrol,Individual,Manual,Fourth & Above Owner,9,256016,155000
Tata Nano Lx,2011,20000,Petrol,Individual,Manual,First Owner,13.07,256565,120000
Chevrolet Beat Diesel LS,2013,93900,Diesel,Individual,Manual,Second Owner,11.94,256721,130000
Tata Nano CX SE,2013,25000,Petrol,Individual,Manual,Third Owner,12,256971,75000
Tata Indigo CR4,2013,60000,Diesel,Individual,Manual,First Owner,13.24,257588,170000
Hyundai Verna SX Diesel,2010,78000,Diesel,Dealer,Manual,Second Owner,14.57,257756,200000
Maruti Omni 8 Seater BSIV,2013,35000,Petrol,Individual,Manual,First Owner,15,257767,170000
Hyundai i10 Magna,2011,28000,Petrol,Dealer,Manual,First Owner,10.24,258259,250000
Tata Manza Aura (ABS) Safire BS IV,2010,50000,Petrol,Individual,Manual,Second Owner,10.74,258529,150000
Maruti Alto LXi,2012,40000,Petrol,Individual,Manual,Second Owner,12.06,259469,180000
Chevrolet Spark 1.0,2010,80000,Petrol,Individual,Manual,Second Owner,15,259942,78692
Tata Indica Vista Aqua 1.4 TDI,2010,81000,Diesel,Individual,Manual,Second Owner,12.41,260565,125000
Maruti Zen Estilo LX BSIV,2010,50000,Petrol,Individual,Manual,Third Owner,9,261686,90000
Tata New Safari DICOR 2.2 EX 4x2,2010,120000,Diesel,Individual,Manual,Second Owner,10.1,261694,250000
Maruti Wagon R Duo Lxi,2010,90000,LPG,Individual,Manual,Second Owner,13,261820,120000
Hyundai EON D Lite,2014,76000,Petrol,Individual,Manual,Second Owner,10,261864,180000
Tata Xenon XT EX 4X4,2010,70000,Diesel,Individual,Manual,Second Owner,12,262306,150000
Tata Nano Lx,2011,40000,Petrol,Individual,Manual,First Owner,12,262446,60000
Tata Tiago 1.05 Revotorq XM,2017,50000,Diesel,Individual,Manual,First Owner,9.36,262550,260000
Hyundai Santro Xing GL Plus,2013,80000,Petrol,Individual,Manual,First Owner,13,262711,175000
Ford Fiesta Classic 1.4 Duratorq CLXI,2011,186000,Diesel,Individual,Manual,Second Owner,10,262834,150000
Maruti Alto 800 LXI,2014,90000,Petrol,Individual,Manual,Second Owner,11,263393,190000
Chevrolet Optra Magnum 2.0 LS,2011,120000,Diesel,Individual,Manual,First Owner,13.67,263738,195000
Toyota Etios V,2011,41125,Petrol,Dealer,Manual,First Owner,9,263940,249000
Maruti Alto LXi BSIII,2010,40000,Petrol,Individual,Manual,Second Owner,13.41,264046,150000
Tata Nano Lx,2010,90000,Petrol,Individual,Manual,First Owner,10.83,264317,40000
Tata Venture EX,2012,80000,Diesel,Individual,Manual,First Owner,13,264513,110000
Tata Manza Aura Safire,2010,50000,Petrol,Individual,Manual,First Owner,9.41,264625,200000
Maruti Alto LXi,2011,78000,Petrol,Individual,Manual,First Owner,14,265639,135000
Chevrolet Beat PS,2014,77000,Petrol,Individual,Manual,First Owner,9.59,265699,170000
Maruti Alto LX,2012,70000,Petrol,Individual,Manual,Second Owner,14,265818,140000
Maruti Ritz VDi,2011,40000,Diesel,Individual,Manual,Second Owner,9,266472,150000
Nissan Sunny XL D,2013,78000,Diesel,Dealer,Manual,First Owner,9,266632,225000
Maruti Eeco 5 STR With AC Plus HTR CNG,2010,80000,CNG,Individual,Manual,Fourth & Above Owner,15,266855,170000
Maruti Alto 800 VXI,2017,50000,Petrol,Individual,Manual,First Owner,10,267421,150000
Tata Nano STD,2013,25000,Petrol,Individual,Manual,Fourth & Above Owner,10.79,268691,55000
Maruti Ritz VXI,2011,80000,Petrol,Individual,Manual,Second Owner,10,269052,250000
Datsun GO T Option BSIV,2015,25000,Petrol,Individual,Manual,First Owner,10,269312,210000
Tata Indica Vista Quadrajet VX,2012,185000,Diesel,Individual,Manual,Second Owner,11.06,269366,130000
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,10,269554,225000
Maruti SX4 ZXI MT BSIV,2011,160000,Petrol,Individual,Manual,Second Owner,10,269613,150000
Hyundai EON 1.0 Kappa Magna Plus,2015,70000,Petrol,Individual,Manual,First Owner,14,269729,160000
Maruti Swift Dzire Vdi BSIV,2011,90000,Diesel,Individual,Manual,Fourth & Above Owner,10,269744,215000
Tata Indica Vista Quadrajet LX,2011,10000,Diesel,Individual,Manual,Second Owner,10,269834,149000
Hyundai EON Sportz,2012,80000,Petrol,Individual,Manual,First Owner,11,269957,150000
Tata Nano Lx BSIII,2011,60000,Petrol,Individual,Manual,Second Owner,14,270062,65000
Renault KWID RXT,2017,20000,Petrol,Individual,Manual,First Owner,11,270294,220000
Maruti Swift Dzire VDI,2012,80000,Diesel,Individual,Manual,Third Owner,9.74,270399,215000
Ford Fiesta 1.4 ZXi Duratec,2010,110000,Petrol,Individual,Manual,First Owner,11,270462,150000
Datsun RediGO T Option,2017,30000,Petrol,Individual,Manual,First Owner,10.11,270854,200000
Maruti Wagon R DUO LPG,2014,90000,LPG,Individual,Manual,First Owner,9.41,271420,210000
Hyundai EON Sportz,2012,55766,Petrol,Individual,Manual,Second Owner,13.13,271452,150000
Chevrolet Beat LS,2011,60000,Petrol,Individual,Manual,First Owner,10.65,271713,160000
Maruti Alto 800 VXI,2015,70000,Petrol,Individual,Manual,First Owner,14,272090,190000
Maruti Wagon R VXi BSII,2011,59000,Petrol,Individual,Manual,Second Owner,11,272278,220000
Maruti Alto 800 LXI,2017,35000,Petrol,Individual,Manual,First Owner,10,272539,178000
Maruti Alto 800 LXI,2015,35000,Petrol,Dealer,Manual,First Owner,9,272636,250999
Hyundai EON D Lite,2016,30000,Petrol,Individual,Manual,First Owner,9,272696,210000
Maruti Alto 800 VXI,2016,60000,Petrol,Individual,Manual,Second Owner,10,273407,220000
Chevrolet Beat LT,2012,90000,Petrol,Individual,Manual,Second Owner,10,273887,200999
Nissan Micra Diesel XV Premium,2011,120000,Diesel,Individual,Manual,First Owner,11,274183,160000
Tata Nano LX SE,2012,20778,Petrol,Dealer,Manual,First Owner,13,274565,95000
Maruti Wagon R LXI CNG,2010,80000,CNG,Individual,Manual,Second Owner,11,275231,195000
Hyundai EON Era Plus,2013,120000,Petrol,Individual,Manual,First Owner,14,275379,200000
Tata Indigo CR4,2013,60000,Diesel,Individual,Manual,First Owner,11.02,275786,170000
Hyundai i10 Era,2011,139000,Petrol,Individual,Manual,Second Owner,13.71,275879,175000
Tata Indigo CR4,2012,120000,Diesel,Individual,Manual,First Owner,13,276089,130000
Maruti Alto 800 LX,2016,25000,Petrol,Individual,Manual,Second Owner,13,276093,150000
Hyundai i10 Era,2012,45000,Petrol,Individual,Manual,Second Owner,11,276203,229999
Nissan Micra Active XV S,2013,30000,Petrol,Individual,Manual,First Owner,11,277823,164000
Maruti SX4 Vxi BSIV,2012,110000,Petrol,Individual,Manual,Second Owner,14.33,278041,225000
Hyundai EON Era Plus,2012,70000,Petrol,Individual,Manual,Second Owner,11,278372,215000
Nissan Sunny XL,2012,70000,Petrol,Individual,Manual,Third Owner,10,278647,250000
Hyundai i10 Magna,2012,50000,Petrol,Individual,Manual,First Owner,11,278810,210000
Tata New Safari DICOR 2.2 EX 4x2,2010,120000,Diesel,Individual,Manual,Second Owner,10,279070,180000
Chevrolet Beat Diesel LT,2011,80000,Diesel,Individual,Manual,Second Owner,13,279456,130000
Chevrolet Beat Diesel LT,2013,70000,Diesel,Individual,Manual,First Owner,10.65,279483,173000
Mahindra Verito 1.5 D2 BSIII,2011,280000,Diesel,Individual,Manual,First Owner,13,279650,150000
Tata Manza Club Class Quadrajet90 LS,2014,100000,Diesel,Individual,Manual,First Owner,11.96,279662,200000
Mahindra Xylo Celebration Edition BSIV,2010,240000,Diesel,Individual,Manual,Third Owner,11.93,280247,200000
Fiat Punto 1.3 Active,2010,80000,Diesel,Individual,Manual,Second Owner,13,280706,99000
Hyundai Verna 1.6 CRDI,2011,125000,Diesel,Individual,Manual,Third Owner,10.02,280910,260000
Tata Indigo LX,2011,60000,Diesel,Individual,Manual,Second Owner,13,281095,140000
Tata Indica Vista Quadrajet LX,2012,80000,Diesel,Individual,Manual,Third Owner,12,281342,175000
Hyundai i10 Magna,2012,49824,Petrol,Dealer,Manual,First Owner,14.05,281410,229999
Hyundai i10 Magna 1.2,2010,60000,Petrol,Individual,Manual,Second Owner,12,281647,225000
Chevrolet Beat PS,2015,50000,Petrol,Individual,Manual,First Owner,10,281893,200000
Tata Indica Vista TDI LX,2013,65000,Diesel,Individual,Manual,First Owner,9.74,282030,185000
